NumTeam,Wins,PenaltiesperGame,PenaltyYardsperGame
1,Kansas City,15,5.5,60.6
2,San Francisco,15,5.5,54.3
3,Baltimore,14,5.2,54.3
4,Green Bay,14,4.8,47.2
5,New Orleans,13,7,64
6,New England,12,2.8,50.4
7,Seattle,12,5,57.9
8,Tennessee,11,4.3,55.9
9,Minnesota,11,4.5,52
10,Houston,11,3.8,55.5
11,Buffalo,10,5.8,58.3
12,LA Rams,9,3.2,56.2
13,Philadelphia,9,5.5,51.8
14,Dallas,8,7.5,63
15,Pittsburgh,8,5,55.8
16,Chicago,8,7.2,52.4
17,Tampa Bay,7,7.8,69.4
18,Atlanta,7,6,59.8
19,Indianapolis,7,6.5,41.9
20,Las Vegas,7,4.8,71.1
21,Denver,7,5.2,57
22,NY Jets,7,8,69.1
23,Cleveland,6,6.8,69.1
24,Jacksonville,6,7,72.8
25,Arizona,5,8,59.8
26,Carolina,5,6.8,47.1
27,LA Chargers,5,6.8,54.5
28,Miami,5,4,48.1
29,NY Giants,4,4,49
30,Detroit,3,6.8,58.6
31,Washington,3,4.8,52.2
32,Cincinnati,2,6.8,47.6